model,set,tugas,penilai,rumusan,ulangan,versi_soal,versi_kunci,benar,benar_bobot,n_dinilai,n_item,skor,benar_tertahan,n_dinilai_tertahan,skor_tertahan,biaya_usd,tokens_in,tokens_out,latensi_median_ms,parsial,tanpa_skor,menunggu_vonis,beku,cap_token,dijalankan_pada,waktu_pasti
claude-haiku-4.5,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,26,,27,27,0.963,11,11,1.0,0.0104050000,9645,152,1405,0,0,0,1,600,2026-08-14T06:37:41+0700,1
claude-haiku-4.5,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,38,,42,42,0.9048,18,18,1.0,0.0153630000,14163,240,1426,0,0,0,0,600,2026-08-17T23:08:21+0700,1
deepseek-v4-flash-0731,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,39,,42,42,0.9286,18,18,1.0,0.0022297790,10888,4981,3281,0,0,0,0,2400,2026-08-17T23:04:31+0700,1
deepseek-v4-flash-0731,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,25,,27,27,0.9259,10,11,0.9091,0.0017605604,7374,3835,3097,0,0,0,1,2400,2026-08-14T03:08:08+0700,1
gemma-4-31b,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,27,,27,27,1.0,10,11,0.9091,0.0008532700,7011,76,936,0,0,0,1,600,2026-08-13T14:51:16+0700,1
gemma-4-31b,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,41,,42,42,0.9762,17,18,0.9444,0.0010043500,10271,120,614,0,0,0,0,600,2026-08-17T22:43:22+0700,1
gpt-5.6-luna,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,27,,27,27,1.0,11,11,1.0,0.0011014000,6994,670,1021,0,0,0,1,600,2026-08-14T06:54:53+0700,1
gpt-5.6-luna,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,42,,42,42,1.0,18,18,1.0,0.0030592000,10310,831,1103,0,0,0,0,2400,2026-08-17T22:49:05+0700,1
hunyuan-a13b,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,19,,27,27,0.7037,9,11,0.8182,0.0012376600,8531,76,1483,0,0,0,1,600,2026-08-14T06:56:38+0700,1
hunyuan-a13b,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,29,,42,42,0.6905,14,18,0.7778,0.0018108400,12446,120,1488,0,0,0,0,600,2026-08-17T22:55:27+0700,1
