item_id,model,tugas,penilai,benar,latensi_ms,biaya_usd,tokens_out,cap_token,dijalankan_pada
id-w1-001,claude-haiku-4.5,terbuka,open-py1,0,1109,0.0003000000,7,600,2026-08-14T06:39:49+0700
id-w1-001,deepseek-v4-flash-0731,terbuka,open-py1,0,20734,0.0000619312,181,600,2026-08-14T02:45:58+0700
id-w1-001,gemma-4-31b,terbuka,open-py1,1,2229,0.0000540700,4,600,2026-08-13T14:55:49+0700
id-w1-001,gpt-5.6-luna,terbuka,open-py1,0,3885,0.0000684000,81,600,2026-08-14T06:47:21+0700
id-w1-001,hunyuan-a13b,terbuka,open-py1,0,1625,0.0000343400,4,600,2026-08-14T06:50:58+0700
id-w1-001,ling-3.0-flash,terbuka,open-py1,0,1068,0.0000122640,114,600,2026-08-14T06:42:12+0700
id-w1-001,llama-3-1-8b-q4km-local,terbuka,open-py1,0,554,,6,600,2026-08-15T16:26:14+0700
id-w1-001,mistral-small-3-2501,terbuka,open-py1,0,1261,0.0000109200,4,600,2026-08-13T14:54:18+0700
id-w1-001,qwen3-30b-a3b-2507,terbuka,open-py1,0,807,0.0000245000,4,600,2026-08-14T02:54:57+0700
id-w1-001,sahabatai-1-llama3-q4km-local,terbuka,open-py1,0,2896,,4,600,2026-08-14T23:19:28+0700
id-w1-001,sea-lion-v4-5-e2b-q4km-local,terbuka,open-py1,0,8123,,4,600,2026-08-15T16:40:27+0700
id-w1-001,seed-2.0-mini,terbuka,open-py1,0,10616,0.0005127000,1222,4000,2026-08-20T02:16:54+0700
id-w1-001,solar-pro4,terbuka,open-py1,0,46733,0.0000081900,4,600,2026-08-14T08:36:52+0700
id-w1-003,claude-haiku-4.5,terbuka,open-py1,1,1895,0.0003050000,6,600,2026-08-14T06:39:54+0700
id-w1-003,deepseek-v4-flash-0731,terbuka,open-py1,1,1314,0.0000366800,27,600,2026-08-14T02:46:06+0700
id-w1-003,gemma-4-31b,terbuka,open-py1,1,2497,0.0000176400,4,600,2026-08-13T14:55:54+0700
id-w1-003,gpt-5.6-luna,terbuka,open-py1,1,3346,0.0001571000,228,600,2026-08-14T06:47:28+0700
id-w1-003,hunyuan-a13b,terbuka,open-py1,1,1458,0.0000371500,5,600,2026-08-14T06:51:03+0700
id-w1-003,ling-3.0-flash,terbuka,open-py1,1,2425,0.0000336714,502,2400,2026-08-14T06:46:45+0700
id-w1-003,llama-3-1-8b-q4km-local,terbuka,open-py1,1,422,,5,600,2026-08-15T16:26:17+0700
id-w1-003,mistral-small-3-2501,terbuka,open-py1,1,553,0.0000114000,5,600,2026-08-13T14:54:22+0700
id-w1-003,qwen3-30b-a3b-2507,terbuka,open-py1,1,649,0.0000264000,5,600,2026-08-14T02:55:00+0700
id-w1-003,sahabatai-1-llama3-q4km-local,terbuka,open-py1,1,294,,5,600,2026-08-14T23:19:31+0700
id-w1-003,sea-lion-v4-5-e2b-q4km-local,terbuka,open-py1,1,932,,4,600,2026-08-15T16:40:31+0700
id-w1-003,seed-2.0-mini,terbuka,open-py1,1,1118,0.0000542000,74,4000,2026-08-20T02:16:59+0700
id-w1-003,solar-pro4,terbuka,open-py1,1,1558,0.0000084900,5,600,2026-08-14T08:36:57+0700
id-w1-004,claude-haiku-4.5,terbuka,open-py1,1,1666,0.0003300000,9,600,2026-08-14T06:39:57+0700
id-w1-004,deepseek-v4-flash-0731,terbuka,open-py1,0,2709,0.0000451750,57,600,2026-08-14T02:46:10+0700
id-w1-004,gemma-4-31b,terbuka,open-py1,1,6380,0.0000240000,4,600,2026-08-13T14:56:01+0700
id-w1-004,gpt-5.6-luna,terbuka,open-py1,1,2390,0.0000568000,61,600,2026-08-14T06:47:32+0700
id-w1-004,hunyuan-a13b,terbuka,open-py1,0,1474,0.0000353200,4,600,2026-08-14T06:51:06+0700
id-w1-004,ling-3.0-flash,terbuka,open-py1,1,1964,0.0000418320,582,2400,2026-08-14T06:46:48+0700
id-w1-004,llama-3-1-8b-q4km-local,terbuka,open-py1,0,443,,4,600,2026-08-15T16:26:19+0700
id-w1-004,mistral-small-3-2501,terbuka,open-py1,1,570,0.0000112700,4,600,2026-08-13T14:54:23+0700
id-w1-004,qwen3-30b-a3b-2507,terbuka,open-py1,1,540,0.0000121352,3,600,2026-08-14T02:55:02+0700
id-w1-004,sahabatai-1-llama3-q4km-local,terbuka,open-py1,0,345,,4,600,2026-08-14T23:19:32+0700
id-w1-004,sea-lion-v4-5-e2b-q4km-local,terbuka,open-py1,1,896,,4,600,2026-08-15T16:40:33+0700
id-w1-004,seed-2.0-mini,terbuka,open-py1,0,14601,0.0006725000,1620,4000,2026-08-20T02:17:14+0700
id-w1-004,solar-pro4,terbuka,open-py1,1,72844,0.0000083400,4,600,2026-08-14T08:38:11+0700
id-w1-006,claude-haiku-4.5,terbuka,open-py1,0,1310,0.0003050000,9,600,2026-08-14T06:40:02+0700
id-w1-006,deepseek-v4-flash-0731,terbuka,open-py1,0,2325,0.0000801700,193,600,2026-08-14T02:46:19+0700
id-w1-006,gemma-4-31b,terbuka,open-py1,0,1011,0.0000184400,5,600,2026-08-13T14:56:08+0700
id-w1-006,gpt-5.6-luna,terbuka,open-py1,0,2701,0.0001403000,201,600,2026-08-14T06:47:40+0700
id-w1-006,hunyuan-a13b,terbuka,open-py1,0,1586,0.0000359100,7,600,2026-08-14T06:51:11+0700
id-w1-006,ling-3.0-flash,terbuka,open-py1,0,1172,0.0000161910,179,600,2026-08-14T06:42:36+0700
id-w1-006,llama-3-1-8b-q4km-local,terbuka,open-py1,0,629,,5,600,2026-08-15T16:26:23+0700
id-w1-006,mistral-small-3-2501,terbuka,open-py1,0,1344,0.0000110000,5,600,2026-08-13T14:54:27+0700
id-w1-006,qwen3-30b-a3b-2507,terbuka,open-py1,0,458,0.0000119430,4,600,2026-08-14T02:55:07+0700
id-w1-006,sahabatai-1-llama3-q4km-local,terbuka,open-py1,1,275,,5,600,2026-08-14T23:19:35+0700
id-w1-006,sea-lion-v4-5-e2b-q4km-local,terbuka,open-py1,0,1050,,6,600,2026-08-15T16:40:37+0700
id-w1-006,seed-2.0-mini,terbuka,open-py1,0,3630,0.0001905000,417,4000,2026-08-20T02:17:25+0700
id-w1-006,solar-pro4,terbuka,open-py1,0,24502,0.0000081600,6,600,2026-08-14T08:38:39+0700
id-w1-007,claude-haiku-4.5,terbuka,open-py1,0,1221,0.0002960000,8,600,2026-08-14T06:40:04+0700
id-w1-007,deepseek-v4-flash-0731,terbuka,open-py1,1,5016,0.0000493290,208,600,2026-08-14T02:46:25+0700
id-w1-007,gemma-4-31b,terbuka,open-py1,1,692,0.0000160100,3,600,2026-08-13T14:56:09+0700
id-w1-007,gpt-5.6-luna,terbuka,open-py1,1,2129,0.0000874000,115,600,2026-08-14T06:47:43+0700
id-w1-007,hunyuan-a13b,terbuka,open-py1,1,1387,0.0000345000,6,600,2026-08-14T06:51:14+0700
id-w1-007,ling-3.0-flash,terbuka,open-py1,1,1180,0.0000158760,176,600,2026-08-14T06:42:38+0700
id-w1-007,llama-3-1-8b-q4km-local,terbuka,open-py1,1,634,,6,600,2026-08-15T16:26:25+0700
id-w1-007,mistral-small-3-2501,terbuka,open-py1,1,482,0.0000102200,4,600,2026-08-13T14:54:29+0700
id-w1-007,qwen3-30b-a3b-2507,terbuka,open-py1,0,606,0.0000241000,5,600,2026-08-14T02:55:09+0700
id-w1-007,sahabatai-1-llama3-q4km-local,terbuka,open-py1,1,386,,6,600,2026-08-14T23:19:37+0700
id-w1-007,sea-lion-v4-5-e2b-q4km-local,terbuka,open-py1,1,836,,3,600,2026-08-15T16:40:39+0700
id-w1-007,seed-2.0-mini,terbuka,open-py1,1,6550,0.0003086000,715,4000,2026-08-20T02:17:33+0700
id-w1-007,solar-pro4,terbuka,open-py1,0,15045,0.0000077100,4,600,2026-08-14T08:38:55+0700
id-w1-009,claude-haiku-4.5,terbuka,open-py1,1,1270,0.0002710000,4,600,2026-08-14T06:40:09+0700
id-w1-009,deepseek-v4-flash-0731,terbuka,open-py1,1,3404,0.0000782600,182,600,2026-08-14T02:46:35+0700
id-w1-009,gemma-4-31b,terbuka,open-py1,0,2229,0.0000269400,4,600,2026-08-13T14:56:14+0700
id-w1-009,gpt-5.6-luna,terbuka,open-py1,0,1833,0.0000721000,89,600,2026-08-14T06:47:48+0700
id-w1-009,hunyuan-a13b,terbuka,open-py1,1,1416,0.0000320800,2,600,2026-08-14T06:51:19+0700
id-w1-009,ling-3.0-flash,terbuka,open-py1,1,1303,0.0000171780,195,600,2026-08-14T06:42:43+0700
id-w1-009,llama-3-1-8b-q4km-local,terbuka,open-py1,1,435,,2,600,2026-08-15T16:26:28+0700
id-w1-009,mistral-small-3-2501,terbuka,open-py1,1,440,0.0000105900,3,600,2026-08-13T14:54:32+0700
id-w1-009,qwen3-30b-a3b-2507,terbuka,open-py1,1,399,0.0000110268,1,600,2026-08-14T02:55:12+0700
id-w1-009,sahabatai-1-llama3-q4km-local,terbuka,open-py1,1,226,,2,600,2026-08-14T23:19:40+0700
