model_id,lema,jawaban_model,kunci_hadir,sim_definisi,persentil_vs_skor_kebetulan,peringkat_dalam_lema,jumlah_makna,latency_ms,biaya_usd,tokens_in,tokens_out
claude-haiku-4.5,akeh,Akeh dalam bahasa Jawa berarti banyak atau banyak sekali dalam bahasa Indonesia.,1,0.4703,0.9959,2,1,1319,0.000189,44,29
claude-haiku-4.5,Anggitan,Anggitan dalam bahasa Jawa berarti beban atau muatan yang dipikul di atas kepala.,0,0.127,0.6123,12,1,1472,0.000201,46,31
claude-haiku-4.5,bajigur,"Bajigur adalah minuman tradisional Jawa Barat yang terbuat dari santan, gula merah, jahe, dan rempah-rempah lainnya, biasanya diminum dalam keadaan hangat.",1,0.6988,0.9999,8,2,1650,0.00034,45,59
claude-haiku-4.5,Balung,Balung dalam bahasa Jawa berarti tulang dalam bahasa Indonesia.,1,0.2022,0.8291,10,1,1423,0.000155,45,22
claude-haiku-4.5,bantet,Bantet adalah sejenis burung kecil berwarna hitam dengan paruh tebal yang sering ditemukan di Indonesia.,0,0.2117,0.8477,12,1,1460,0.000209,44,33
claude-haiku-4.5,Bedat,Bedat dalam bahasa Jawa berarti berat atau sulit (dalam konteks pekerjaan atau beban).,0,0.342,0.973,2,1,1633,0.000205,45,32
claude-haiku-4.5,Bisane,"Bisane berarti ""bisa"" atau ""mampu"" dalam bahasa Indonesia.",1,0.3202,0.9634,9,2,1413,0.00016,45,23
claude-haiku-4.5,Blumbang,"Blumbang berarti kolam atau genangan air, biasanya kolam yang cukup besar dan dalam.",1,0.7614,1.0,1,1,1855,0.000201,46,31
claude-haiku-4.5,Bolo,Bolo dalam bahasa Jawa berarti bodoh atau dungu.,0,0.0742,0.3886,19,3,1262,0.00015,45,21
claude-haiku-4.5,Bondho,Bondho dalam bahasa Jawa berarti kaya atau orang yang memiliki banyak harta/kekayaan.,1,0.6286,0.9997,7,1,1518,0.00022,45,35
claude-haiku-4.5,Bongko,"Bongko dalam bahasa Jawa berarti tempat atau wadah untuk menyimpan sesuatu, biasanya berupa kotak atau keranjang.",0,0.2232,0.8674,10,2,1841,0.000256,46,42
