item_id,tugas,model_a,model_b,cocok,benar_a,benar_b
jv-a1-002,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a1-002,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
jv-a1-002,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,0
jv-a1-003,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a1-003,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
jv-a1-003,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,0,0
jv-a1-004,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,0,0
jv-a1-004,pilihan-ganda,glm-5.3,ox-alpha,1,0,0
jv-a1-004,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,0
jv-a1-005,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a1-005,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a1-005,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a1-006,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a1-006,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a1-006,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a1-007,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a1-007,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
jv-a1-007,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,0,0
jv-a1-008,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,0,1
jv-a1-008,pilihan-ganda,glm-5.3,ox-alpha,0,0,1
jv-a1-008,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a1-009,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a1-009,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
jv-a1-009,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,0,0
jv-a1-012,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a1-012,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a1-012,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a1-013,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a1-013,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a1-013,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a1-015,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a1-015,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a1-015,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a1-016,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,0,1
jv-a1-016,pilihan-ganda,glm-5.3,ox-alpha,0,0,1
jv-a1-016,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a1-017,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a1-017,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a1-017,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a3-001,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a3-001,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a3-001,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a3-003,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a3-003,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a3-003,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a3-004,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a3-004,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a3-004,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a3-005,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a3-005,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a3-005,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a3-006,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a3-006,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a3-006,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a3-007,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,0,1
jv-a3-007,pilihan-ganda,glm-5.3,ox-alpha,1,0,0
jv-a3-007,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,1,0
jv-a3-009,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a3-009,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a3-009,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a3-010,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a3-010,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a3-010,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a4-001,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a4-001,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a4-001,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a4-003,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a4-003,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a4-003,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a4-006,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a4-006,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a4-006,pilihan-ganda,hy-mt2-1.8b,ox-alpha,1,1,1
jv-a4-007,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a4-007,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a4-007,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
jv-a4-008,pilihan-ganda,glm-5.3,hy-mt2-1.8b,1,1,1
jv-a4-008,pilihan-ganda,glm-5.3,ox-alpha,0,1,0
jv-a4-008,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,1,0
jv-a4-010,pilihan-ganda,glm-5.3,hy-mt2-1.8b,0,1,0
jv-a4-010,pilihan-ganda,glm-5.3,ox-alpha,1,1,1
jv-a4-010,pilihan-ganda,hy-mt2-1.8b,ox-alpha,0,0,1
