item_id,tugas,model_a,model_b,cocok,benar_a,benar_b
id-b1-002,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-002,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-002,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-003,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-003,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-003,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-006,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-006,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-006,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-007,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,0,1
id-b1-007,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,0,0
id-b1-007,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-008,pilihan-ganda,gemma-4-26b-a4b-free,laguna-s-2.1-free,1,1,1
id-b1-008,pilihan-ganda,gemma-4-26b-a4b-free,nemotron-3-super-120b-free,1,1,1
id-b1-008,pilihan-ganda,gemma-4-26b-a4b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-008,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-008,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-008,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-009,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-009,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-009,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-010,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-010,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-010,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-011,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-011,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-011,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-012,pilihan-ganda,gemma-4-26b-a4b-free,laguna-s-2.1-free,0,1,0
id-b1-012,pilihan-ganda,gemma-4-26b-a4b-free,nemotron-3-super-120b-free,1,1,1
id-b1-012,pilihan-ganda,gemma-4-26b-a4b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-012,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,0,1
id-b1-012,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,0,1
id-b1-012,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
